"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
175,Under $1,-4563
175,"$1 under $10,000",1894
175,"$10,000 under $25,000",10116
175,"$25,000 under $50,000",26111
175,"$50,000 under $75,000",28896
175,"$75,000 under $100,000",27271
175,"$100,000 under $200,000",79709
175,"$200,000 or more",98088
,,
177,Gonzales County,"683,921"
177,Under $1,-13191
177,"$1 under $10,000",5224
177,"$10,000 under $25,000",33233
177,"$25,000 under $50,000",102944
177,"$50,000 under $75,000",86902
177,"$75,000 under $100,000",67368
177,"$100,000 under $200,000",141632
177,"$200,000 or more",259809
,,
179,Gray County,"518,004"
179,Under $1,-25772
179,"$1 under $10,000",5109
179,"$10,000 under $25,000",28456
179,"$25,000 under $50,000",75299
179,"$50,000 under $75,000",83904
179,"$75,000 under $100,000",74990
179,"$100,000 under $200,000",157225
179,"$200,000 or more",118793
,,
181,Grayson County,"5,147,697"
181,Under $1,-42740
181,"$1 under $10,000",32720
181,"$10,000 under $25,000",198600
181,"$25,000 under $50,000",614179
181,"$50,000 under $75,000",610932
181,"$75,000 under $100,000",569340
181,"$100,000 under $200,000",1394573
181,"$200,000 or more",1770093
,,
183,Gregg County,"4,162,379"
183,Under $1,-42884
183,"$1 under $10,000",33411
183,"$10,000 under $25,000",226193
183,"$25,000 under $50,000",537666
183,"$50,000 under $75,000",492544
183,"$75,000 under $100,000",417193
183,"$100,000 under $200,000",971627
183,"$200,000 or more",1526629
,,
185,Grimes County,"1,010,760"
185,Under $1,-16827
185,"$1 under $10,000",8099
185,"$10,000 under $25,000",48687
185,"$25,000 under $50,000",120736
185,"$50,000 under $75,000",125647
185,"$75,000 under $100,000",109194
185,"$100,000 under $200,000",281815
185,"$200,000 or more",333409
,,
187,Guadalupe County,"6,613,650"
187,Under $1,-38892
187,"$1 under $10,000",42338
187,"$10,000 under $25,000",237187
187,"$25,000 under $50,000",738735
187,"$50,000 under $75,000",833140
187,"$75,000 under $100,000",833438
187,"$100,000 under $200,000",2341516
187,"$200,000 or more",1626188
,,
189,Hale County,"706,449"
189,Under $1,-16490
189,"$1 under $10,000",7933
189,"$10,000 under $25,000",49269
189,"$25,000 under $50,000",138535
189,"$50,000 under $75,000",115689
189,"$75,000 under $100,000",85832
189,"$100,000 under $200,000",155211
